;review_id;rating;title;review_date;user_name;review;response_id;dev_response;response_date;lang-r;lang-t;lang
321;4797308214;4;Good and clear app;2019-09-17T22:10:50Z;Bruno de Malaisie;Just wish not to use it that often...;;;;en;;en
279;3861390231;4;Application Stable et Efficace;2019-03-09T14:25:32Z;mook972;RAS;;;;de;en;en
268;3509459898;4;Très bien et juste;2018-12-08T23:49:13Z;jeuzhs;Really good and seems to tell true data;;;;en;;en
145;3494180279;4;4 stars;2018-12-05T01:17:15Z;Chonlamas ch;Great ! It’s helpful;;;;en;;en
115;2290821149;4;Great app;2018-03-10T12:41:22Z;hpbrownfr;Works very well. Would like to see an equivalent app for Apple Watch;;;;en;;en
148;2201840940;4;very useful;2018-02-13T05:16:18Z;MisterGD......;very useful;;;;en;;en
114;2164215003;4;Visual and clear;2018-02-04T01:47:15Z;Tycé;Good app with clear information;;;;en;;en
124;2434915979;3;little Tribu from Seoul South Korea;2018-04-17T23:58:52Z;little Tribu;Very useful for us when we decide to do sport: running, biking, trekking;;;;en;;en
149;3688408352;1;Bug;2019-01-24T10:13:12Z;Mimi75;Bug sur l’Apple watch;7003136.0;"Hi Mimi75,
We are sorry you are experiencing troubles with the Apple Watch.
Please contact us via this link so our team can help: https://www.airvisual.com/contact 
The AirVisual team";2019-01-25T03:21:34Z;en;;en
143;2685130456;1;Shanghai;2018-06-13T03:52:43Z;EliseVig;Prefer the other design. I don t understand the new one;;;;en;;en
